[2025-10-02 09:39:01] [INFO    ] discord.client: logging in using static token
[2025-10-02 09:39:02] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_CREATE', 's': 2, 'op': 0, 'd': {'discovery_splash': None, 'joined_at': '2025-10-02T14:27:20.026050+00:00', 'embedded_activities': [], 'nsfw': False, 'emojis': [], 'owner_configured_content_level': 0, 'profile': None, 'preferred_locale': 'en-US', 'premium_tier': 0, 'rules_channel_id': None, 'premium_subscription_count': 0, 'members': [{'user': {'username': 'MrCounter', 'public_flags': 0, 'primary_guild': None, 'id': '1423313159502037033', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '9308', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1423315419317403661'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-10-02T14:27:20.026050+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'afk_timeout': 300, 'application_id': None, 'verification_level': 0, 'explicit_content_filter': 0, 'features': [], 'default_message_notifications': 0, 'id': '1423307403021127742', 'system_channel_flags': 0, 'region': 'deprecated', 'stickers': [], 'afk_channel_id': None, 'moderator_reporting': None, 'banner': None, 'name': 'BOT TEST server', 'system_channel_id': '1423307403851730946', 'roles': [{'version': 1759413328847, 'unicode_emoji': None, 'tags': {}, 'position': 0, 'permissions': '2248473465835073', 'name': '@everyone', 'mentionable': False, 'managed': False, 'id': '1423307403021127742', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1759415239993, 'unicode_emoji': None, 'tags': {'bot_id': '1423313159502037033'}, 'position': 1, 'permissions': '2815076453444672', 'name': 'MrCounter', 'mentionable': False, 'managed': True, 'id': '1423315419317403661', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}], 'premium_features': None, 'channels': [{'version': 1759413328853, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Text Channels', 'id': '1423307403851730944', 'flags': 0}, {'version': 1759413328856, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Voice Channels', 'id': '1423307403851730945', 'flags': 0}, {'version': 1759413328863, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1423307403851730944', 'name': 'general', 'last_message_id': '1423333401145901177', 'id': '1423307403851730946', 'icon_emoji': {'name': '👋', 'id': None}, 'flags': 0}, {'version': 1759413328883, 'user_limit': 0, 'type': 2, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1423307403851730945', 'name': 'General', 'last_message_id': None, 'id': '1423307403851730947', 'icon_emoji': {'name': '🎙', 'id': None}, 'flags': 0, 'bitrate': 64000}], 'safety_alerts_channel_id': None, 'threads': [], 'soundboard_sounds': [], 'max_video_channel_users': 25, 'nsfw_level': 0, 'description': None, 'premium_progress_bar_enabled': False, 'vanity_url_code': None, 'public_updates_channel_id': None, 'splash': None, 'guild_scheduled_events': [], 'latest_onboarding_question_id': None, 'icon': None, 'incidents_data': None, 'mfa_level': 0, 'large': False, 'max_stage_video_channel_users': 50, 'application_command_counts': {}, 'unavailable': False, 'stage_instances': [], 'max_members': 25000000, 'lazy': True, 'activity_instances': [], 'owner_id': '178569497202917376', 'presences': [], 'member_count': 2, 'hub_type': None, 'inventory_settings': None, 'voice_states': [], 'version': 1759413445819, 'home_header': None}}
[2025-10-02 09:39:02] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-10-02 09:39:02] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_MEMBERS_CHUNK', 's': 3, 'op': 0, 'd': {'nonce': '6c90b4ce05bbd2a93e30d860841c6152', 'members': [{'user': {'username': 'thokknar', 'public_flags': 0, 'primary_guild': None, 'id': '178569497202917376', 'global_name': 'Thokknar', 'display_name_styles': None, 'display_name': 'Thokknar', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': {'sku_id': '1413650166774366279', 'expires_at': None, 'asset': 'a_795f81ea071513ca4394a53e009792ac'}, 'avatar': '34688754f05760acca50c1bdecc3fb7f'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-10-02T13:55:28.765000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'MrCounter', 'public_flags': 0, 'primary_guild': None, 'id': '1423313159502037033', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '9308', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1423315419317403661'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-10-02T14:27:20.026050+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'guild_id': '1423307403021127742', 'chunk_index': 0, 'chunk_count': 1}}
[2025-10-02 09:39:02] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-10-02 09:39:02] [DEBUG   ] discord.state: Processed a chunk for 2 members in guild ID 1423307403021127742.
[2025-10-02 09:39:04] [DEBUG   ] discord.client: Dispatching event guild_available
[2025-10-02 09:39:04] [DEBUG   ] discord.client: Dispatching event ready
[2025-10-02 09:39:08] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 4, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-10-02T15:39:08.473000+00:00', 'pinned': False, 'nonce': '1423333488811048960', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-10-02T13:55:28.765000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1423333490837159939', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': '!count', 'components': [], 'channel_type': 0, 'channel_id': '1423307403851730946', 'author': {'username': 'thokknar', 'public_flags': 0, 'primary_guild': None, 'id': '178569497202917376', 'global_name': 'Thokknar', 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': {'sku_id': '1413650166774366279', 'expires_at': None, 'asset': 'a_795f81ea071513ca4394a53e009792ac'}, 'avatar': '34688754f05760acca50c1bdecc3fb7f'}, 'attachments': [], 'guild_id': '1423307403021127742'}}
[2025-10-02 09:39:08] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-10-02 09:39:08] [DEBUG   ] discord.client: Dispatching event message
[2025-10-02 09:39:08] [DEBUG   ] discord.client: Dispatching event command
[2025-10-02 09:39:08] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 5, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-10-02T15:39:08.739000+00:00', 'pinned': False, 'nonce': '2560168902386670106', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1423315419317403661'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-10-02T14:27:20.026050+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1423333491952717957', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': '# 12005 REMAINING...', 'components': [], 'channel_type': 0, 'channel_id': '1423307403851730946', 'author': {'username': 'MrCounter', 'public_flags': 0, 'primary_guild': None, 'id': '1423313159502037033', 'global_name': None, 'display_name_styles': None, 'discriminator': '9308', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'attachments': [], 'guild_id': '1423307403021127742'}}
[2025-10-02 09:39:08] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-10-02 09:39:08] [DEBUG   ] discord.client: Dispatching event message
[2025-10-02 09:39:08] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1423307403851730946/messages with {"content":"# 12005 REMAINING...","components":[],"nonce":"2560168902386670106","enforce_nonce":true,"tts":false} has returned 200
[2025-10-02 09:39:08] [DEBUG   ] discord.http: POST /channels/{channel_id}/messages has found its initial rate limit bucket hash (3df15bae86f6647dd4dfcbd5c6949480).
[2025-10-02 09:39:08] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1423307403851730946/messages has received {'type': 0, 'content': '# 12005 REMAINING...', 'mentions': [], 'mention_roles': [], 'attachments': [], 'embeds': [], 'timestamp': '2025-10-02T15:39:08.739000+00:00', 'edited_timestamp': None, 'flags': 0, 'components': [], 'id': '1423333491952717957', 'channel_id': '1423307403851730946', 'author': {'id': '1423313159502037033', 'username': 'MrCounter', 'avatar': None, 'discriminator': '9308', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'pinned': False, 'mention_everyone': False, 'tts': False, 'nonce': '2560168902386670106'}
[2025-10-02 09:39:08] [DEBUG   ] discord.client: Dispatching event command_completion
[2025-10-02 09:39:11] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 6, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-10-02T15:39:11.455000+00:00', 'pinned': False, 'nonce': '1423333501272326144', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-10-02T13:55:28.765000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1423333503344574646', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': '!add 5', 'components': [], 'channel_type': 0, 'channel_id': '1423307403851730946', 'author': {'username': 'thokknar', 'public_flags': 0, 'primary_guild': None, 'id': '178569497202917376', 'global_name': 'Thokknar', 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': {'sku_id': '1413650166774366279', 'expires_at': None, 'asset': 'a_795f81ea071513ca4394a53e009792ac'}, 'avatar': '34688754f05760acca50c1bdecc3fb7f'}, 'attachments': [], 'guild_id': '1423307403021127742'}}
[2025-10-02 09:39:11] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-10-02 09:39:11] [DEBUG   ] discord.client: Dispatching event message
[2025-10-02 09:39:11] [DEBUG   ] discord.client: Dispatching event command
[2025-10-02 09:39:11] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 7, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-10-02T15:39:11.609000+00:00', 'pinned': False, 'nonce': '9593333452941552795', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1423315419317403661'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-10-02T14:27:20.026050+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1423333503990370325', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': '# 12010 REMAINING...', 'components': [], 'channel_type': 0, 'channel_id': '1423307403851730946', 'author': {'username': 'MrCounter', 'public_flags': 0, 'primary_guild': None, 'id': '1423313159502037033', 'global_name': None, 'display_name_styles': None, 'discriminator': '9308', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'attachments': [], 'guild_id': '1423307403021127742'}}
[2025-10-02 09:39:11] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-10-02 09:39:11] [DEBUG   ] discord.client: Dispatching event message
[2025-10-02 09:39:11] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1423307403851730946/messages with {"content":"# 12010 REMAINING...","components":[],"nonce":"9593333452941552795","enforce_nonce":true,"tts":false} has returned 200
[2025-10-02 09:39:11] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1423307403851730946/messages has received {'type': 0, 'content': '# 12010 REMAINING...', 'mentions': [], 'mention_roles': [], 'attachments': [], 'embeds': [], 'timestamp': '2025-10-02T15:39:11.609000+00:00', 'edited_timestamp': None, 'flags': 0, 'components': [], 'id': '1423333503990370325', 'channel_id': '1423307403851730946', 'author': {'id': '1423313159502037033', 'username': 'MrCounter', 'avatar': None, 'discriminator': '9308', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'pinned': False, 'mention_everyone': False, 'tts': False, 'nonce': '9593333452941552795'}
[2025-10-02 09:39:11] [DEBUG   ] discord.client: Dispatching event command_completion
[2025-10-02 09:39:15] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'TYPING_START', 's': 8, 'op': 0, 'd': {'user_id': '178569497202917376', 'timestamp': 1759419555, 'member': {'user': {'username': 'thokknar', 'public_flags': 0, 'primary_guild': None, 'id': '178569497202917376', 'global_name': 'Thokknar', 'display_name_styles': None, 'display_name': 'Thokknar', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': {'sku_id': '1413650166774366279', 'expires_at': None, 'asset': 'a_795f81ea071513ca4394a53e009792ac'}, 'avatar': '34688754f05760acca50c1bdecc3fb7f'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-10-02T13:55:28.765000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'channel_id': '1423307403851730946', 'guild_id': '1423307403021127742'}}
[2025-10-02 09:39:15] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-10-02 09:39:15] [DEBUG   ] discord.client: Dispatching event typing
[2025-10-02 09:39:15] [DEBUG   ] discord.client: Dispatching event raw_typing
[2025-10-02 09:39:15] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 9, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-10-02T15:39:15.944000+00:00', 'pinned': False, 'nonce': '1423333520255746048', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-10-02T13:55:28.765000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1423333522172809268', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': '!add ajsjsajd', 'components': [], 'channel_type': 0, 'channel_id': '1423307403851730946', 'author': {'username': 'thokknar', 'public_flags': 0, 'primary_guild': None, 'id': '178569497202917376', 'global_name': 'Thokknar', 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': {'sku_id': '1413650166774366279', 'expires_at': None, 'asset': 'a_795f81ea071513ca4394a53e009792ac'}, 'avatar': '34688754f05760acca50c1bdecc3fb7f'}, 'attachments': [], 'guild_id': '1423307403021127742'}}
[2025-10-02 09:39:15] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-10-02 09:39:15] [DEBUG   ] discord.client: Dispatching event message
[2025-10-02 09:39:15] [DEBUG   ] discord.client: Dispatching event command
[2025-10-02 09:39:15] [DEBUG   ] discord.client: Dispatching event command_completion
[2025-10-02 09:39:18] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 10, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-10-02T15:39:18.691000+00:00', 'pinned': False, 'nonce': '1423333531462926336', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-10-02T13:55:28.765000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1423333533694558368', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': '!count', 'components': [], 'channel_type': 0, 'channel_id': '1423307403851730946', 'author': {'username': 'thokknar', 'public_flags': 0, 'primary_guild': None, 'id': '178569497202917376', 'global_name': 'Thokknar', 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': {'sku_id': '1413650166774366279', 'expires_at': None, 'asset': 'a_795f81ea071513ca4394a53e009792ac'}, 'avatar': '34688754f05760acca50c1bdecc3fb7f'}, 'attachments': [], 'guild_id': '1423307403021127742'}}
[2025-10-02 09:39:18] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-10-02 09:39:18] [DEBUG   ] discord.client: Dispatching event message
[2025-10-02 09:39:18] [DEBUG   ] discord.client: Dispatching event command
[2025-10-02 09:39:18] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1423307403851730946/messages with {"content":"# 12010 REMAINING...","components":[],"nonce":"10652341832187960081","enforce_nonce":true,"tts":false} has returned 200
[2025-10-02 09:39:18] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1423307403851730946/messages has received {'type': 0, 'content': '# 12010 REMAINING...', 'mentions': [], 'mention_roles': [], 'attachments': [], 'embeds': [], 'timestamp': '2025-10-02T15:39:18.846000+00:00', 'edited_timestamp': None, 'flags': 0, 'components': [], 'id': '1423333534344675379', 'channel_id': '1423307403851730946', 'author': {'id': '1423313159502037033', 'username': 'MrCounter', 'avatar': None, 'discriminator': '9308', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'pinned': False, 'mention_everyone': False, 'tts': False, 'nonce': '10652341832187960081'}
[2025-10-02 09:39:18] [DEBUG   ] discord.client: Dispatching event command_completion
[2025-10-02 09:39:18] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'TYPING_START', 's': 11, 'op': 0, 'd': {'user_id': '178569497202917376', 'timestamp': 1759419558, 'member': {'user': {'username': 'thokknar', 'public_flags': 0, 'primary_guild': None, 'id': '178569497202917376', 'global_name': 'Thokknar', 'display_name_styles': None, 'display_name': 'Thokknar', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': {'sku_id': '1413650166774366279', 'expires_at': None, 'asset': 'a_795f81ea071513ca4394a53e009792ac'}, 'avatar': '34688754f05760acca50c1bdecc3fb7f'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-10-02T13:55:28.765000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'channel_id': '1423307403851730946', 'guild_id': '1423307403021127742'}}
[2025-10-02 09:39:18] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-10-02 09:39:18] [DEBUG   ] discord.client: Dispatching event typing
[2025-10-02 09:39:18] [DEBUG   ] discord.client: Dispatching event raw_typing
[2025-10-02 09:39:18] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 12, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-10-02T15:39:18.846000+00:00', 'pinned': False, 'nonce': '10652341832187960081', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1423315419317403661'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-10-02T14:27:20.026050+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1423333534344675379', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': '# 12010 REMAINING...', 'components': [], 'channel_type': 0, 'channel_id': '1423307403851730946', 'author': {'username': 'MrCounter', 'public_flags': 0, 'primary_guild': None, 'id': '1423313159502037033', 'global_name': None, 'display_name_styles': None, 'discriminator': '9308', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'attachments': [], 'guild_id': '1423307403021127742'}}
[2025-10-02 09:39:18] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-10-02 09:39:18] [DEBUG   ] discord.client: Dispatching event message
[2025-10-02 09:39:43] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 12.
[2025-10-02 09:39:43] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-10-02 09:40:24] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 12.
[2025-10-02 09:40:24] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-10-02 09:41:05] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 12.
[2025-10-02 09:41:06] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-10-02 09:41:47] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 12.
[2025-10-02 09:41:47] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
